driving_experience,type_of_vehicle,lanes_or_medians,road_allignment,types_of_junction,road_surface_conditions,light_conditions,weather_conditions,number_of_vehicles_involved,vehicle_movement,pedestrian_movement,accident_severity
,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,2.0,Turnover,Not a Pedestrian,Slight Injury
Below 1yr,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Stationwagen,,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Stationwagen,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Unknown or other,Slight Injury
,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Getting off,Not a Pedestrian,Slight Injury
1-2yr,Automobile,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Moving Backward,Not a Pedestrian,Slight Injury
5-10yr,,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Dry,Daylight,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Taxi,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Dry,Daylight,Normal,3.0,Turnover,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (> 45 seats),One way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
No Licence,Stationwagen,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Turnover,Not a Pedestrian,Slight Injury
5-10yr,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Turnover,Not a Pedestrian,Slight Injury
5-10yr,Public (13?45 seats),Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,One way,Tangent road with flat terrain,O Shape,Wet or damp,Daylight,Raining,2.0,Getting off,Not a Pedestrian,Slight Injury
5-10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Wet or damp,Daylight,Raining,2.0,Getting off,Not a Pedestrian,Slight Injury
2-5yr,Ridden horse,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,1.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,2.0,Overtaking,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),One way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,2.0,Reversing,Not a Pedestrian,Slight Injury
1-2yr,Pick up upto 10Q,Undivided Two way,Tangent road with flat terrain,O Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Lorry (11?40Q),One way,Tangent road with flat terrain,O Shape,Dry,Daylight,Normal,2.0,Getting off,Not a Pedestrian,Slight Injury
1-2yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Getting off,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Reversing,Not a Pedestrian,Slight Injury
Above 10yr,Pick up upto 10Q,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,1.0,Turnover,Not a Pedestrian,Slight Injury
5-10yr,Automobile,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
2-5yr,Other,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Public (13?45 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Stationwagen,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Reversing,Not a Pedestrian,Slight Injury
2-5yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Pick up upto 10Q,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Public (13?45 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Public (12 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,1.0,Getting off,Not a Pedestrian,Serious Injury
Above 10yr,Pick up upto 10Q,One way,Tangent road with flat terrain,Unknown,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Serious Injury
Above 10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Unknown,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Serious Injury
Below 1yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Long lorry,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Reversing,Not a Pedestrian,Slight Injury
Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
Below 1yr,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Public (13?45 seats),Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Special vehicle,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),other,Steep grade downward with mountainous terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),One way,Steep grade downward with mountainous terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Public (> 45 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Dry,Daylight,Normal,2.0,Turnover,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
5-10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,1.0,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Serious Injury
2-5yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Dry,Darkness - lights lit,Normal,2.0,Other,Not a Pedestrian,Slight Injury
1-2yr,Public (> 45 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Lorry (11?40Q),One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
No Licence,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (11?40Q),One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Special vehicle,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
5-10yr,Lorry (11?40Q),Undivided Two way,Steep grade downward with mountainous terrain,Crossing,Dry,Daylight,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,1.0,Other,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,2.0,Unknown,Not a Pedestrian,Slight Injury
Above 10yr,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Dry,Daylight,Normal,1.0,Turnover,Not a Pedestrian,Serious Injury
,Automobile,other,Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,2.0,Getting off,Not a Pedestrian,Slight Injury
Above 10yr,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
,Automobile,other,Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (13?45 seats),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Turnover,Not a Pedestrian,Slight Injury
Above 10yr,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Reversing,Not a Pedestrian,Serious Injury
,Automobile,other,Tangent road with mountainous terrain and,No junction,Dry,Daylight,Normal,2.0,Moving Backward,Not a Pedestrian,Serious Injury
5-10yr,,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Other,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,O Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Taxi,Undivided Two way,Tangent road with flat terrain,O Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Serious Injury
,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Stationwagen,,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Stationwagen,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,3.0,Other,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,3.0,Moving Backward,Not a Pedestrian,Slight Injury
,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,3.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Automobile,One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
5-10yr,,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Taxi,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Dry,Daylight,Normal,1.0,Moving Backward,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,,Not a Pedestrian,Slight Injury
5-10yr,Other,One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (> 45 seats),One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
No Licence,Stationwagen,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
5-10yr,Public (13?45 seats),Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
5-10yr,Other,One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Moving Backward,Unknown or other,Slight Injury
5-10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Ridden horse,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Pick up upto 10Q,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Slight Injury
Below 1yr,Lorry (11?40Q),One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Lorry (11?40Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Reversing,Not a Pedestrian,Slight Injury
5-10yr,Motorcycle,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
Below 1yr,Stationwagen,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
5-10yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Reversing,Not a Pedestrian,Serious Injury
5-10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Reversing,Not a Pedestrian,Slight Injury
2-5yr,Taxi,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,,Not a Pedestrian,Slight Injury
5-10yr,Long lorry,Undivided Two way,Steep grade downward with mountainous terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Long lorry,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
2-5yr,Lorry (41?100Q),other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Lorry (11?40Q),Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Taxi,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,2.0,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
Below 1yr,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
5-10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Serious Injury
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Crossing from driver's nearside,Slight Injury
Above 10yr,Automobile,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (> 45 seats),Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Lorry (11?40Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
1-2yr,Stationwagen,One way,Steep grade downward with mountainous terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,,Not a Pedestrian,Slight Injury
5-10yr,Motorcycle,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Turnover,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Pick up upto 10Q,One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Motorcycle,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Stationwagen,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),One way,Tangent road with flat terrain,O Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Taxi,Undivided Two way,Tangent road with flat terrain,O Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
No Licence,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Long lorry,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Automobile,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Public (12 seats),Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,3.0,Turnover,"In carriageway, statioNot a Pedestrianry - not crossing (standing or playing)",Slight Injury
1-2yr,Lorry (11?40Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,,Not a Pedestrian,Slight Injury
2-5yr,Pick up upto 10Q,Double carriageway (median),Gentle horizontal curve,Y Shape,Dry,Daylight,Normal,2.0,Reversing,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Slight Injury
Above 10yr,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Long lorry,,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Turnover,Not a Pedestrian,Slight Injury
5-10yr,Lorry (11?40Q),One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Serious Injury
,Long lorry,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
5-10yr,Automobile,,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Serious Injury
Below 1yr,Taxi,Two-way (divided with broken lines road marking),Gentle horizontal curve,Crossing,Dry,Daylight,Normal,1.0,Other,Not a Pedestrian,Serious Injury
2-5yr,Taxi,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Long lorry,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Turnover,Not a Pedestrian,Slight Injury
2-5yr,Lorry (11?40Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (11?40Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Turnover,Not a Pedestrian,Slight Injury
5-10yr,Long lorry,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Turbo,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
Above 10yr,Long lorry,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,,Not a Pedestrian,Slight Injury
5-10yr,Long lorry,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (13?45 seats),Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Reversing,Not a Pedestrian,Slight Injury
,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,1.0,Reversing,Not a Pedestrian,Slight Injury
5-10yr,Pick up upto 10Q,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,3.0,Reversing,Not a Pedestrian,Slight Injury
